contractId,description,category,status,progress,region,province,latitude,longitude,startDate,completionDate,infraYear,programName,sourceOfFunds,budget,amountPaid,contractorId,image_folder_path,downloaded_image_count,date_00_pre_start,date_25_progress,date_50_progress,date_75_progress,date_100_completed,date_post_completion,osm_mask_path,vit_delta_00_to_25_t0.3,vit_delta_00_to_25_t0.4,vit_delta_00_to_25_t0.5,vit_delta_00_to_25_t0.6,vit_delta_00_to_25_t0.7,vit_delta_00_to_25_t0.8,vit_delta_25_to_50_t0.3,vit_delta_25_to_50_t0.4,vit_delta_25_to_50_t0.5,vit_delta_25_to_50_t0.6,vit_delta_25_to_50_t0.7,vit_delta_25_to_50_t0.8,vit_delta_50_to_75_t0.3,vit_delta_50_to_75_t0.4,vit_delta_50_to_75_t0.5,vit_delta_50_to_75_t0.6,vit_delta_50_to_75_t0.7,vit_delta_50_to_75_t0.8,vit_delta_75_to_10_t0.3,vit_delta_75_to_10_t0.4,vit_delta_75_to_10_t0.5,vit_delta_75_to_10_t0.6,vit_delta_75_to_10_t0.7,vit_delta_75_to_10_t0.8,vit_delta_10_to_po_t0.3,vit_delta_10_to_po_t0.4,vit_delta_10_to_po_t0.5,vit_delta_10_to_po_t0.6,vit_delta_10_to_po_t0.7,vit_delta_10_to_po_t0.8
22ib0117,"construction  of road, canyupay - bagong barrio, borongan city, eastern samar",roads,completed,100.0,Region VIII,Eastern Samar DEO,11.4865064,125.3728372,2022-06-16,2023-08-12,2022,regular infra,regular infra - gaa 2022 cssp,96499996.6,0,32898,data/images/22ib0117,7,2022-05-17,2022-09-29,2023-01-13,2023-04-28,2023-08-12,2023-09-11,data/images/22ib0117/22ib0117_road_mask.png,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8581560283687943,0.549645390070922,0.0,1.0,1.0,0.8546099290780141,0.0,0.0,0.0,1.0,1.0,1.0,0.46099290780141844,0.19148936170212766,0.0
21ge0068,"construction of concrete road-igang-tamucol-bakyawan-concordia road in support of mango industry and native delicacies, sitio tamucol, nueva valencia, guimaras",roads,completed,100.0,Region VI,Guimaras DEO,10.5075365,122.5410047,2021-03-05,2022-05-23,2021,regular infra,regular infra - gaa 2021 cssp,12642437.69,0,33522,data/images/21ge0068,7,2021-02-03,2021-06-24,2021-10-13,2022-02-01,2022-05-23,2022-06-22,data/images/21ge0068/21ge0068_road_mask.png,1.0,1.0,1.0,0.7779442613125562,0.35900509439616424,0.0,1.0,1.0,1.0,0.5770152831884927,0.43317350913994607,0.0,1.0,1.0,0.9995504944560983,0.09364698831285585,0.05948456697632604,0.0,1.0,1.0,0.9671860952951753,0.17425831585256218,0.11012885825591849,0.0,1.0,1.0,0.9706323044650884,0.2070722205573869,0.11956847467785436,0.0
19n00043,"construction of missing links, new roads-butuan city-pianing-tandag road, brgy. kolambogan-padiay, sibagat, package c, agusan del sur, sibagat, agusan del sur",roads,completed,100.0,Region XIII,Region XIII,8.9898308,125.7733219,2019-07-15,2020-10-31,2019,regular infra,regular infra - gaa 2019 oo-1,144747913.59,0,14332,data/images/19n00043,7,2019-06-15,2019-11-10,2020-03-08,2020-07-04,2020-10-31,2020-11-30,data/images/19n00043/19n00043_road_mask.png,1.0,1.0,1.0,0.22476955802410778,0.08437721578822974,0.0,1.0,1.0,1.0,0.39730560151264477,0.23516899078232095,0.0,1.0,1.0,1.0,0.6208934058142284,0.4644292129520208,0.0,1.0,1.0,0.9673835972583313,0.3337272512408414,0.1975892224060506,0.0,1.0,1.0,0.7702670763412904,0.15055542424958637,0.06145119357125975,0.0
21gb0035,"construction of road, barangay guinbangaan-barangay liberato phase i, laua-an, antique",roads,completed,100.0,Region VI,Antique DEO,11.083503,122.0673246,2021-03-24,2022-06-20,2021,regular infra,regular infra - gaa 2021 lp,97959959.7,0,15906,data/images/21gb0035,7,2021-02-22,2021-07-15,2021-11-05,2022-02-26,2022-06-20,2022-07-20,data/images/21gb0035/21gb0035_road_mask.png,1.0,1.0,0.948985090713131,0.19364109933536913,0.08801868151607688,0.0,1.0,1.0,0.8331237650440093,0.06682234596730735,0.010059277887551643,0.0,1.0,1.0,0.9552721393928507,0.33159691036464883,0.12071133465061973,0.0,1.0,1.0,0.9996407400754446,0.35027842644153045,0.12681875336806178,0.0,1.0,1.0,0.7637865996048141,0.02173522543560266,0.016705586491826838,0.0
21jd0073,"construction/improvement of sunset boulevard barangay dawo, dapitan city, zn",roads,completed,100.0,Region IX,Zamboanga del Norte 1st DEO,8.6382381,123.4127481,2021-07-29,2022-10-24,2021,regular infra,regular infra - gaa 2021 lp,83953184.86,0,20989,data/images/21jd0073,7,2021-06-29,2021-11-19,2022-03-12,2022-07-03,2022-10-24,2022-11-23,data/images/21jd0073/21jd0073_road_mask.png,1.0,1.0,0.9722797671895038,0.11670119364703561,0.042122916050113444,0.0,1.0,1.0,0.9906283910427148,0.32011443227779424,0.1899970405445398,0.0,1.0,1.0,1.0,0.5378317056328302,0.2977212192956496,0.0,1.0,1.0,0.9610338364407616,0.3669724770642202,0.18960244648318042,0.0,1.0,1.0,0.5121830916444707,0.03847292098253921,0.007102693104468778,0.0
19pd0021,off-carriageway improvement: construction of laybys-on specific locations along quirino h-way (baguio-bauang) (s00420lz) ko299+570 to ko303+790,roads,completed,100.0,Cordillera Administrative Region,Baguio City DEO,16.413018,120.5737745,2019-06-25,2020-11-01,2019,regular infra,regular infra - gaa 2019 oo-1,8840300.86,0,35767,data/images/19pd0021,7,2019-05-26,2019-10-26,2020-02-27,2020-06-30,2020-11-01,2020-12-01,data/images/19pd0021/19pd0021_road_mask.png,1.0,1.0,0.9915113915030077,0.37027100668608914,0.18316530779065623,0.0,1.0,1.0,0.9955984992978558,0.40741128880132466,0.18136278845549245,0.0,1.0,1.0,0.8420490033744839,0.05765965919808849,0.020833769990149024,0.0,1.0,1.0,0.9166649200394039,0.2683867451950284,0.14621366141979836,0.0,1.0,1.0,0.9827293496258724,0.24443000565907233,0.08763178302697491,0.0
23gg0159,"construction of concrete road - janiuay diversion road, iloilo",roads,completed,100.0,Region VI,Iloilo 2nd DEO,10.9423303,122.5182197,2023-02-27,2024-09-30,2023,regular infra,regular infra - gaa 2023 oo-1,81184684.19,0,26469,data/images/23gg0159,7,2023-01-28,2023-07-22,2023-12-14,2024-05-07,2024-09-30,2024-10-30,data/images/23gg0159/23gg0159_road_mask.png,1.0,1.0,1.0,0.6204071894385239,0.37012883728328294,0.0,1.0,1.0,1.0,0.7867822490854144,0.5691108636869732,0.0,1.0,1.0,0.9968983616987435,0.605217114681088,0.3407030380149515,0.0,1.0,1.0,0.9988070621918244,0.2303960553523143,0.08565293462700811,0.0,1.0,1.0,0.1794178463496103,0.000795291872117067,0.0005567043104819469,0.0
23go0041,"construction of concrete road - construction of road, jr torres, phase 2, bacolod city",roads,completed,100.0,Negros Island Region,Bacolod City DEO,10.6481139,122.9264086,2023-02-08,2024-03-25,2023,regular infra,regular infra - gaa 2023 cssp,14700000.0,0,49278,data/images/23go0041,7,2023-01-09,2023-05-21,2023-09-01,2023-12-13,2024-03-25,2024-04-24,data/images/23go0041/23go0041_road_mask.png,1.0,1.0,1.0,0.06262296454435096,0.0035162627150571394,0.0,1.0,1.0,0.8606052995102348,0.041902130687764244,0.008288333542634686,0.0,1.0,1.0,0.7544895140022605,0.025451044413746914,0.0016744108166938758,0.0,1.0,1.0,0.6881409853907656,0.023776633597053037,0.004144166771317343,0.0,1.0,1.0,0.4613839005399975,0.018292938172380594,0.01268366193645611,0.0
22ia0085,"construction of road slope protection structure biliran circumferential road - k1074+950 - k1075+220 (11.611093, 124.563013 to 11.608852, 124.562516)",roads,completed,100.0,Region VIII,Biliran DEO,11.6110194,124.5629889,2022-03-17,2023-06-19,2022,regular infra,regular infra - gaa 2022 oo-1,38108229.55,0,39757,data/images/22ia0085,7,2022-02-15,2022-07-09,2022-11-01,2023-02-24,2023-06-19,2023-07-19,data/images/22ia0085/22ia0085_road_mask.png,1.0,1.0,0.9936974789915967,0.027661064425770307,0.0056022408963585435,0.0,1.0,1.0,0.9992997198879552,0.00665266106442577,0.0,0.0,1.0,1.0,0.9303221288515406,0.0,0.0,0.0,1.0,1.0,1.0,0.12464985994397759,0.02415966386554622,0.0,1.0,1.0,1.0,0.18977591036414565,0.03326330532212885,0.0
21c00022,"construction/repair/rehabilitation/improvement of various infrastructure including local projects-local roads and bridges-local roads, rehabilitation of san isidro-dawe bypass road, minalin, pampanga",roads,completed,100.0,Region III,Region III,14.9514583,120.7153028,2021-04-21,2023-07-01,2021,regular infra,regular infra - gaa 2021 lp,96388049.51,0,46299,data/images/21c00022,7,2021-03-22,2021-11-07,2022-05-26,2022-12-12,2023-07-01,2023-07-31,data/images/21c00022/21c00022_road_mask.png,1.0,1.0,0.846820809248555,0.07329043516195878,0.014232740756898244,0.0,1.0,1.0,0.9812956701930418,0.3007416294034246,0.1295124877303959,0.0,1.0,1.0,0.9705529501581416,0.328443668884284,0.14859853855382266,0.0,1.0,1.0,0.9564292725488057,0.15497873268622533,0.05524048424037518,0.0,1.0,1.0,0.922946886247137,0.18322608790489694,0.08256080270476605,0.0
