contractId,description,category,status,progress,region,province,latitude,longitude,startDate,completionDate,infraYear,programName,sourceOfFunds,budget,amountPaid,contractorId,image_folder_path,downloaded_image_count,date_00_pre_start,date_25_progress,date_50_progress,date_75_progress,date_100_completed,date_post_completion,osm_mask_path
22ib0117,"construction  of road, canyupay - bagong barrio, borongan city, eastern samar",roads,completed,100.0,Region VIII,Eastern Samar DEO,11.4865064,125.3728372,2022-06-16,2023-08-12,2022,regular infra,regular infra - gaa 2022 cssp,96499996.6,0,32898,data/images/22ib0117,7,2022-05-17,2022-09-29,2023-01-13,2023-04-28,2023-08-12,2023-09-11,data/images/22ib0117/22ib0117_road_mask.png
21ge0068,"construction of concrete road-igang-tamucol-bakyawan-concordia road in support of mango industry and native delicacies, sitio tamucol, nueva valencia, guimaras",roads,completed,100.0,Region VI,Guimaras DEO,10.5075365,122.5410047,2021-03-05,2022-05-23,2021,regular infra,regular infra - gaa 2021 cssp,12642437.69,0,33522,data/images/21ge0068,7,2021-02-03,2021-06-24,2021-10-13,2022-02-01,2022-05-23,2022-06-22,data/images/21ge0068/21ge0068_road_mask.png
19n00043,"construction of missing links, new roads-butuan city-pianing-tandag road, brgy. kolambogan-padiay, sibagat, package c, agusan del sur, sibagat, agusan del sur",roads,completed,100.0,Region XIII,Region XIII,8.9898308,125.7733219,2019-07-15,2020-10-31,2019,regular infra,regular infra - gaa 2019 oo-1,144747913.59,0,14332,data/images/19n00043,7,2019-06-15,2019-11-10,2020-03-08,2020-07-04,2020-10-31,2020-11-30,data/images/19n00043/19n00043_road_mask.png
21gb0035,"construction of road, barangay guinbangaan-barangay liberato phase i, laua-an, antique",roads,completed,100.0,Region VI,Antique DEO,11.083503,122.0673246,2021-03-24,2022-06-20,2021,regular infra,regular infra - gaa 2021 lp,97959959.7,0,15906,data/images/21gb0035,7,2021-02-22,2021-07-15,2021-11-05,2022-02-26,2022-06-20,2022-07-20,data/images/21gb0035/21gb0035_road_mask.png
21jd0073,"construction/improvement of sunset boulevard barangay dawo, dapitan city, zn",roads,completed,100.0,Region IX,Zamboanga del Norte 1st DEO,8.6382381,123.4127481,2021-07-29,2022-10-24,2021,regular infra,regular infra - gaa 2021 lp,83953184.86,0,20989,data/images/21jd0073,7,2021-06-29,2021-11-19,2022-03-12,2022-07-03,2022-10-24,2022-11-23,data/images/21jd0073/21jd0073_road_mask.png
19pd0021,off-carriageway improvement: construction of laybys-on specific locations along quirino h-way (baguio-bauang) (s00420lz) ko299+570 to ko303+790,roads,completed,100.0,Cordillera Administrative Region,Baguio City DEO,16.413018,120.5737745,2019-06-25,2020-11-01,2019,regular infra,regular infra - gaa 2019 oo-1,8840300.86,0,35767,data/images/19pd0021,7,2019-05-26,2019-10-26,2020-02-27,2020-06-30,2020-11-01,2020-12-01,data/images/19pd0021/19pd0021_road_mask.png
23gg0159,"construction of concrete road - janiuay diversion road, iloilo",roads,completed,100.0,Region VI,Iloilo 2nd DEO,10.9423303,122.5182197,2023-02-27,2024-09-30,2023,regular infra,regular infra - gaa 2023 oo-1,81184684.19,0,26469,data/images/23gg0159,7,2023-01-28,2023-07-22,2023-12-14,2024-05-07,2024-09-30,2024-10-30,data/images/23gg0159/23gg0159_road_mask.png
23go0041,"construction of concrete road - construction of road, jr torres, phase 2, bacolod city",roads,completed,100.0,Negros Island Region,Bacolod City DEO,10.6481139,122.9264086,2023-02-08,2024-03-25,2023,regular infra,regular infra - gaa 2023 cssp,14700000.0,0,49278,data/images/23go0041,7,2023-01-09,2023-05-21,2023-09-01,2023-12-13,2024-03-25,2024-04-24,data/images/23go0041/23go0041_road_mask.png
22ia0085,"construction of road slope protection structure biliran circumferential road - k1074+950 - k1075+220 (11.611093, 124.563013 to 11.608852, 124.562516)",roads,completed,100.0,Region VIII,Biliran DEO,11.6110194,124.5629889,2022-03-17,2023-06-19,2022,regular infra,regular infra - gaa 2022 oo-1,38108229.55,0,39757,data/images/22ia0085,7,2022-02-15,2022-07-09,2022-11-01,2023-02-24,2023-06-19,2023-07-19,data/images/22ia0085/22ia0085_road_mask.png
21c00022,"construction/repair/rehabilitation/improvement of various infrastructure including local projects-local roads and bridges-local roads, rehabilitation of san isidro-dawe bypass road, minalin, pampanga",roads,completed,100.0,Region III,Region III,14.9514583,120.7153028,2021-04-21,2023-07-01,2021,regular infra,regular infra - gaa 2021 lp,96388049.51,0,46299,data/images/21c00022,7,2021-03-22,2021-11-07,2022-05-26,2022-12-12,2023-07-01,2023-07-31,data/images/21c00022/21c00022_road_mask.png
